代码,展示代码,名称,行业,中信细分行业,市场,板块,最新成交额,中证全指权重,概念数量,来源
sh601226,601226.SH,华电科工,建筑工程,其他专业工程,上交所,主板,236396002.0,0.0,13,全A基础池扩展补充
sz301538,301538.SZ,骏鼎达,塑料,改性塑料,深交所,创业板,706864169.0,0.0,7,全A基础池扩展补充
sz301349,301349.SZ,信德新材,化工原料,电池化学品,深交所,创业板,486599325.0,0.0,9,全A基础池扩展补充
sz002973,002973.SZ,侨银股份,环境保护,固废治理,深交所,主板,190753247.0,0.0,14,全A基础池扩展补充
sz002810,002810.SZ,山东赫达,化工原料,其他化学制品,深交所,主板,1000281491.0,0.0,5,全A基础池扩展补充
sz002584,002584.SZ,西陇科学,化工原料,其他化学制品,深交所,主板,190381715.0,0.0,14,全A基础池扩展补充
sz300905,300905.SZ,宝丽迪,染料涂料,纺织化学品,深交所,创业板,1188679559.0,0.0,4,全A基础池扩展补充
sz300721,300721.SZ,怡达股份,化工原料,有机化工原料,深交所,创业板,976151451.0,0.0,5,全A基础池扩展补充
sz002628,002628.SZ,成都路桥,建筑工程,基建工程,深交所,主板,662170199.0,0.0,7,全A基础池扩展补充
sz002647,002647.SZ,仁东控股,多元金融,其他金融服务,深交所,主板,793330064.0,0.0,6,全A基础池扩展补充
sh603969,603969.SH,银龙股份,其他建材,金属制品,上交所,主板,315024807.0,0.0,11,全A基础池扩展补充
sz300187,300187.SZ,永清环保,环境保护,生态修复,深交所,创业板,150551620.0,0.0,15,全A基础池扩展补充
sh688807,688807.SH,优迅股份,半导体,集成电路设计,上交所,科创板,651295299.0,0.0,7,全A基础池扩展补充
sh603610,603610.SH,麒盛科技,家居用品,家具,上交所,主板,537918034.0,0.0,8,全A基础池扩展补充
sz301348,301348.SZ,蓝箭电子,半导体,半导体封测,深交所,创业板,520033348.0,0.0,8,全A基础池扩展补充
sz300644,300644.SZ,南京聚隆,塑料,改性塑料,深交所,创业板,56982260.0,0.0,22,全A基础池扩展补充
sz002445,002445.SZ,中南文化,钢加工,金属制品,深交所,主板,622506993.0,0.0,7,全A基础池扩展补充
sz300720,300720.SZ,海川智能,电器仪表,仪器仪表,深交所,创业板,1071498773.0,0.0,4,全A基础池扩展补充
sz300589,300589.SZ,江龙船艇,船舶,航海装备,深交所,创业板,426449701.0,0.0,9,全A基础池扩展补充
sz300051,300051.SZ,琏升科技,综合类,综合类,深交所,创业板,294439355.0,0.0,11,全A基础池扩展补充
sz002522,002522.SZ,浙江众成,塑料,塑料薄膜,深交所,主板,1044981621.0,0.0,4,全A基础池扩展补充
sh688173,688173.SH,希荻微,半导体,集成电路设计,上交所,科创板,239319462.0,0.0,12,全A基础池扩展补充
sh600758,600758.SH,辽宁能源,煤炭开采,炼焦煤,上交所,主板,1492168004.0,0.0,2,全A基础池扩展补充
sh603268,603268.SH,松发股份,船舶,航海装备,上交所,主板,1032098418.0,0.0,4,全A基础池扩展补充
sz300259,300259.SZ,新天科技,电器仪表,仪器仪表,深交所,创业板,409802046.0,0.0,9,全A基础池扩展补充
sz300815,300815.SZ,玉禾田,环境保护,固废治理,深交所,创业板,93531294.0,0.0,17,全A基础池扩展补充
sh605123,605123.SH,派克新材,航空,航空装备,上交所,主板,589777387.0,0.0,7,全A基础池扩展补充
sz002177,002177.SZ,御银股份,其他商业,商业物业经营,深交所,主板,705733102.0,0.0,6,全A基础池扩展补充
bj920021,920021.BJ,流金科技,影视音像,广播电视,北交所,北交所,210665189.0,0.0,20,全A基础池扩展补充
sz300500,300500.SZ,启迪设计,建筑工程,工程咨询服务,深交所,创业板,62939494.0,0.0,19,全A基础池扩展补充
sz300195,300195.SZ,长荣股份,轻工机械,印刷包装机械,深交所,创业板,52337819.0,0.0,20,全A基础池扩展补充
sh688222,688222.SH,成都先导,化学制药,医疗研发外包,上交所,科创板,469762523.0,0.0,8,全A基础池扩展补充
sz300466,300466.SZ,赛摩智能,电器仪表,仪器仪表,深交所,创业板,89511451.0,0.0,17,全A基础池扩展补充
sz301408,301408.SZ,华人健康,医药商业,医药流通,深交所,创业板,468626324.0,0.0,8,全A基础池扩展补充
sh605069,605069.SH,正和生态,环境保护,生态修复,上交所,主板,186015862.0,0.0,13,全A基础池扩展补充
